I,Q
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
4.74705379828746e-15,-1
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-0.707106781186551,0.707106781186544
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
-5.75769689790233e-15,1
